Text,true_label,predicted_label
tugas damkar,Negatif,Negatif
kodim inhil raih juara i lomba simulasi madam bakar tingkat korem wb,Positif,Negatif
atur pres ibukota pindah ikn uu kmren tau lokasi kes rencana,Negatif,Negatif
sunday al fajr am al shurooq am al dhuhr pm al asr pm al maghrib pm al ishaa pm,Negatif,Netral
ibukota pulau pindah pulau,Netral,Negatif
isi apbn hmm restu ibukota pindah,Negatif,Negatif
osis pas bakar sekolah bilang gin manggil madam orang apar,Negatif,Negatif
bakar landa pabrik plastik kawasan cengkareng jakarta barat proses dingin selasa orang lapor alami luka ringan tugas madam rawan damkar puluh unit mobil madam bakar,Negatif,Negatif
pindah ibukota,Negatif,Negatif
kasihan idol kpop ngapalin ibukota indonesia jekardah pindah,Negatif,Negatif
gelo mah konspirasi parah jakarta beneran anjing dibiarin gitu alias heru budi lu sengaja mag biar alas kuat ibukota pindah cepat ikn problematic dasar perintah calon huni neraka,Netral,Negatif
gitu mkanya nolak ikn pro pindah ibukota bkn bikin kota ikn ngembangin kota rapi pontianak,Negatif,Negatif
kota nusantara kalimantan timur sungguh eks ibukota indonesia indonesia ganti nama nusantara,Negatif,Negatif
hahahaha baca isi berita orang sibuk mikir khusus nya jakarta efektif ibukota pindah ikn daerah khusus gitu diusulin anggota dewan jakarta pusat legislatif,Negatif,Negatif
zigo rolanda bmkg baik sistem ingat bencana desak basarnas bantu daerah susah jaring via,Negatif,Negatif
semarang polrestabes semarang polsek banyumanik gelar giat forum ajar fbb tema cegah bakar lingkung kerjapolsek guna alat madam api ringan apar rabu,Positif,Negatif
selamat dulur dulur rantau ning kabupaten mbakone ampek macet ibukota pindah ning gunung ngadirejo disik,Netral,Negatif
ungkap fakta kaget malaysia dengar rencana proyek kereta cepat ikn nusantara brunei,Negatif,Negatif
ibukota pindah kalimantan,Netral,Negatif
sabar teman nunggu keppres keppres latih nyebut nulis jakarta dki bule biar gampang jelasin jakarta york ibukota indonesia ikn nusantara,Negatif,Negatif
dpr nya pindah gimana cerita ikn pusat ibukota perintah jakarta pusat ekonomi,Positif,Negatif
hahaha ibukota nusantara isi orang asing,Negatif,Negatif
polsek samarinda ulu polisi sektor polsek samarinda ulu gerak cepat tangan jadi timbul asap duga indikasi bakar ruko cv bizal baraka kawasan pasar gir rt jalan sutomo lurah sidodadi camat samarinda ulu,Negatif,Negatif
jakarta banjir mikirin pindah ibukota ajar,Negatif,Negatif
gin dki jakarta ibukota negara indonesia ikn ibukota negara nusantara silah angkut pindah nusantara kalimantan biar indonesia ikhlas,Positif,Negatif
negara ibukota dki jakarta ibukota indonesia expired februari status nusantara ibukota keppresnya februari kemarin keppres no tugas wakil presiden laksana tugas,Negatif,Negatif
akar sentimen sara pilkada alas perintah ngotot pindah ibukota kalimantan,Negatif,Negatif
shinjuku heist village maier pre no gimmick fest shinjuku club science shinjuku heist buka,Negatif,Negatif
pantes ibukota pindah,Negatif,Negatif
dpr usul jakarta ibukota legislatif pindah,Negatif,Negatif
selamat tanggung tugas sadar rumah kerja mari waspada potensi bakar rutin periksa instalasi listrik hindar guna henti kontak,Negatif,Negatif
nek ibukota pindah ikn ngko oke,Netral,Negatif
ikn pindah jakarta ramal tenggelam pindah tamu negara ibukota banjir malu,Negatif,Negatif
ibukota pindah ikn ikn nya isi perintah sana status pindah ikn nya status ubah sekarang indonesia ibukota gitu kah,Negatif,Negatif
okedeh ibukota pindah ikn jakarta og capital city,Netral,Negatif
ikn sungguh cantik iral,Netral,Negatif
api madam bakar,Negatif,Negatif
pindah beh poris lagu pindahin ibukota salesnya keliling ngerayu jaja ibukota halu dunia juang selamat resesi suruh invest konoha boten,Negatif,Negatif
pindah ibukota negara cermin negara malaysia myanmar australia korea selatan bengkalai buang buang uang negara ujung ujung rakyat derita,Negatif,Negatif
alas politis basis suara pks gede jakarta jakarta jadi jakarta ibukota legislatif usul inti biar fokus politik jakarta well be fair alas jokowi pindah salah satu netralisir,Positif,Negatif
raung sirene dengar sayup sekolah lambat nafas lepas dada rakarsatertahan lupa tahan ambulans,Negatif,Negatif
ibukota pindah ikn rame,Negatif,Negatif
ibukota nusantara,Netral,Negatif
rencana presiden pilih lantik kota nusantara ikn kalimantan timur subianto,Netral,Negatif
ibukota pindah,Netral,Negatif
just information kemarin ibukota kalimantan selatan pindah banjarbaru netizen banjarmasin kota madya kalsel terima kasih,Positif,Negatif
korelasi kuat letak ibukotapindah ibukota perata,Negatif,Negatif
ibukota ngendi ibukota wes pindah hemmmm,Netral,Negatif
negara eropa pindah ibukota mengundulin hutan kota kota,Negatif,Negatif
bhabinkamtibmas lurah kramat utara aiptu suroyo laksana giat sambang dds warga rt rw kampung dalang,Positif,Negatif
solusi damkar ekor ular enam meter temu lilit rumah panggung warga camat manggala kota makassar sulawesi selatan rabu malam picu panik warga lapor tugas dinas madam,Negatif,Negatif
mlb mlb,Netral,Netral
mrk undang nyetujuin ikn pindah tah sadar ibukota butuh pindah orang susah infrastruktur blum pada,Negatif,Negatif
tawar kerja ikn tolak deh nunggu ibukota pindah nyari kerja rantau ambil pikir,Negatif,Negatif
tolak pindah kota bangun nol transparan segi apa tidak ada kota ibukota unless bangun nol adjustmentnya desas desus requestnya,Negatif,Negatif
nyari sensasi pindah ibukota bikin sakit hati rakyat,Negatif,Negatif
harus panggil madam bakar bff,Negatif,Negatif
alas pindah ibukota,Negatif,Negatif
tolak pindah ibukota bangun kota nolmending kota adaalasannya biaya,Negatif,Negatif
pks partai sempit pikirsn susah ubah pindah ibukota daerah khusus politikus pks usul jakarta kota legislatif,Negatif,Negatif
tangan raja solo biar alas pindah ibukota,Positif,Negatif
celaka bangkok thailand sabtu kereta barang tabrak bus lintas rel bentur keras picu bakar hebat situasi lokasi cekam delapan orang tewas lukaluka grup selamat madam,Negatif,Negatif
jakarta daerah khusus ibukota ri pindah,Netral,Negatif
nampaknya pindah ibukota,Negatif,Negatif
ntflix pu k k k k k pu k k k k k,Negatif,Negatif
mohon m local train bound ebetsuasapporo departure twenty thirtyfirst station otarus fg,Netral,Netral
pindah ibukota provinsi bikin ikn,Netral,Negatif
partai ibukota pindah ikn kumpul kolam kubang busuk jahat usak negeri,Negatif,Negatif
bakar gedung ditjen bina perintah desa menteri negeri kemendagri jalan raya pasar minggu jakarta selatan senin siang unit mobil madam bakar damkar personel kerah lokasi madam api,Positif,Negatif
pindah ibukota prioritas rakyat,Netral,Negatif
jam sumatra utara jambi sumbar riau aceh sumut lampung dampak info nya,Negatif,Negatif
ethusdt short utc,Netral,Negatif
lantik presiden pilih ikn nusantara menpupr goblok manchester united papua onana bem ui grup bodoh,Negatif,Negatif
sabar lucas dateng panggung joget oke gas oke gas torang gas background konser muka lucas ala disney pas konser konsumsi gratis budgetnya masak panitia bagi ibukota korea pindah seoul kalimantan,Positif,Negatif
cepetan pindah ibukota iya,Netral,Negatif
ikn ibukota raja nusantara,Negatif,Negatif
krisantus kurniawan apresiasi dedikasi rawan madam bakar bakti,Positif,Negatif
rumah tobek godang pekanbaru bakar damkar kerah tujuh mobil madam,Positif,Negatif
nyiram ruang server pakai air pas bakar nama instan ngehancurin data usaha dunia it media madam baik gas clean agent air bubuk kimia bikin komponen karat korslet massal,Negatif,Negatif
iya kakk susah nya dipindahin usaha gamau pindah kesana kecuali maju mumpuni ibukota gampang kakak trust isu,Netral,Negatif
selasa mei wib kota mojokerto terima lapor bakar tiang pju taman hati gelora a yani kelas wates kec magersari api hasil padam tugas damkar bantu tangan dlh kota mojokerto,Netral,Negatif
dampak risiko sengat listrik tegang alat kabel potensi timpa benda alat kerja tinggi ganggu fokus tugas tangan jaring sensitif,Negatif,Negatif
tukang mandor ibukota kalimantan nusantara,Negatif,Negatif
heru masyarakat perlahan lupa jakarta ibukota pindah kerja,Netral,Negatif
mobil madam bakar kota malang jawa timur upaya madam api inap jalan ahmad yani blimbing kota malang jawa timur senin,Positif,Negatif
basuki hadimuljono bocor rencana lantik presiden wakil presiden ri pilih turut lantik gelar kota nusantara ikn kalimantan timur,Negatif,Negatif
nge tweet pas rerun luke madam bakar bner endingnya pas banner summer skies kocak pity,Positif,Negatif
jakarta daerah khusus ri pindah ibukota news,Netral,Negatif
situasi ibukota pindah yogyakarta putus mpr australia,Negatif,Negatif
peduli jakarta fokus pindah ibukota,Positif,Negatif
ibukota resmi pindah kah jakarta kota,Negatif,Negatif
jakarta tenggelam solusi pindah ibukota wkwkwkkwkw ngerti bangun giant sea wall solusi gimana,Positif,Negatif
kerja rs grup sar madam bakar polisi jaga gunung rap tukang jaga rel transportasi dsb ane terima kait nya penting halayak sektor swasta orientasi profit si owner meh,Positif,Negatif
madam bakar ambulance,Netral,Negatif
detikdetik tegang indramayu rumah bakar akibat duga bocor tabung gas acara hajat warga situasi panik ubah aksi heroik fotografer rekam acara langsung tindak cepat bantu,Positif,Negatif
bersih tl,Netral,Netral
ibukota pindah kalimantan orang utan orang kota kalimantan orang kota kalimantan utan,Negatif,Negatif
tugas damkar evakuasi kukang plafon warung siomay tugas madam bakar selamat tanggulang bencana lubuklinggau kota lubuklinggau sumatra selatan hasil evakuasi ekor satwa kukang duga sesat masuk plafon kedai makan,Negatif,Negatif
ikn butuh ibukota pindah,Negatif,Negatif
ibukota pindah beneran jam wilayah beda jam ibukota,Positif,Negatif
live nyala lbank omni futures cahktzfvcaqmrbjcbzetqacryepwcmjpjpump x long x short now network solana created utc listed utc omni futures,Positif,Negatif
pindah ibukota kayake biar ekonomi jateng lesat,Positif,Negatif
siap ingat merdeka kota nusantara jalan lancar,Netral,Negatif
senang pindah ibukota daerah confirm laju,Positif,Negatif
tau sy sloslp damkar syarat mutlak slf gedung dki damkar rutin inspeksi sesuai fungsi gedung gedung alih fungsi owner aware bhkn sepele,Negatif,Negatif
tugas madam bakar selamat damkarmat kabupaten gunungkidul diy lapor kantor ekor ular masuk rumah saudara rabu baca sn,Negatif,Negatif
dukung bangun ikn nusantara maju bangsa indonesia,Positif,Negatif
saleoffmichael kors carson mati,Netral,Negatif
progres landas pacu bandara vvip ikn nusantara,Netral,Negatif
bhabinkamtibmas desa sukosari aipda lintang febianto laksana sambang himbauan kamtibmas warga dusun jab rt rw desa sukosari,Netral,Negatif
masuk akal kelas raja smoke detector apar kalah orkay daerah ku luas bangetttt rumah mobil damkar,Negatif,Negatif
resum temp mx c temp c hum mx hum bar mx hpa bar hpa radiaci solar mx wm ndex uv mx uvi vent mx kmh pluja davui mm,Netral,Netral
pantesan ibukota pindah jakarta warteg kumuh warteg iya,Negatif,Negatif
